iter	Passed	Remaining
235	629	2039
236	631	2034
237	633	2028
238	635	2023
239	637	2018
240	639	2013
241	641	2009
242	644	2008
243	647	2006
244	650	2003
245	652	1998
246	655	1996
247	657	1992
248	659	1987
249	661	1983
250	662	1977
251	664	1973
252	667	1969
253	669	1965
254	671	1961
255	673	1957
256	675	1952
257	677	1947
258	680	1945
259	682	1941
260	683	1936
261	685	1932
262	687	1927
263	689	1923
264	691	1918
265	693	1914
266	695	1909
267	697	1905
268	699	1900
269	701	1896
270	703	1892
271	705	1888
272	707	1883
273	709	1879
274	711	1875
275	713	1872
276	715	1867
277	717	1863
278	719	1859
279	721	1855
280	723	1851
281	725	1846
282	727	1842
283	729	1838
284	731	1834
285	733	1830
286	735	1826
287	737	1822
288	739	1819
289	741	1815
290	743	1811
291	745	1807
292	747	1803
293	749	1800
294	751	1796
295	753	1791
296	755	1787
297	756	1783
298	758	1778
299	761	1776
300	763	1772
301	765	1768
302	767	1764
303	769	1760
304	771	1756
305	773	1753
306	775	1750
307	777	1747
308	779	1743
309	781	1740
310	784	1737
311	786	1733
312	788	1731
313	790	1727
314	792	1724
315	795	1721
316	797	1718
317	799	1714
318	801	1710
319	803	1706
320	805	1703
321	807	1699
322	809	1696
323	811	1693
324	813	1689
325	815	1685
326	817	1681
327	819	1678
328	821	1674
329	823	1671
330	825	1668
331	827	1664
332	829	1661
333	831	1657
334	833	1655
335	836	1652
336	838	1648
337	840	1645
338	841	1641
339	843	1637
340	845	1634
341	847	1631
342	849	1627
343	851	1624
344	853	1620
345	855	1617
346	857	1614
347	860	1611
348	862	1607
349	863	1604
350	866	1601
351	868	1597
352	870	1594
353	872	1591
354	874	1589
355	876	1585
356	878	1583
357	881	1579
358	883	1576
359	885	1573
360	887	1570
361	889	1567
362	893	1567
363	895	1565
364	898	1563
365	901	1560
366	903	1559
367	906	1556
368	909	1555
369	911	1552
370	914	1549
371	916	1546
372	918	1544
373	920	1540
374	922	1538
375	924	1534
376	927	1532
377	929	1529
378	931	1525
379	933	1523
380	935	1519
381	937	1516
382	939	1514
383	941	1510
384	943	1507
385	945	1504
386	947	1501
387	949	1498
388	952	1495
389	954	1493
390	956	1489
391	958	1486
392	960	1483
393	962	1479
394	964	1476
395	966	1473
396	967	1470
397	969	1466
398	971	1463
399	973	1460
400	976	1457
401	978	1454
402	979	1451
403	982	1449
404	984	1446
405	986	1443
406	988	1440
407	990	1437
408	993	1435
409	995	1432
410	997	1429
411	999	1426
412	1001	1423
413	1003	1419
414	1004	1416
415	1006	1413
416	1009	1410
417	1011	1408
418	1013	1405
419	1015	1402
420	1017	1398
421	1019	1396
422	1021	1393
423	1023	1389
424	1025	1387
425	1027	1384
426	1029	1381
427	1031	1378
428	1033	1375
429	1035	1372
430	1037	1369
431	1039	1366
432	1041	1363
433	1043	1360
434	1045	1357
435	1047	1355
436	1050	1352
437	1052	1350
438	1055	1348
439	1057	1345
440	1059	1342
441	1061	1339
442	1063	1337
443	1065	1334
444	1067	1331
445	1069	1328
446	1071	1325
447	1073	1322
448	1075	1320
449	1077	1317
450	1079	1314
451	1081	1311
452	1083	1308
453	1085	1305
454	1087	1302
455	1089	1299
456	1091	1296
457	1093	1294
458	1096	1291
459	1098	1289
460	1099	1286
461	1102	1283
462	1106	1282
463	1108	1279
464	1110	1277
465	1112	1274
466	1114	1271
467	1116	1268
468	1118	1265
469	1119	1262
470	1122	1260
471	1124	1257
472	1126	1254
473	1128	1251
474	1129	1248
475	1131	1245
476	1134	1243
477	1136	1241
478	1138	1237
479	1140	1235
480	1142	1232
481	1144	1229
482	1146	1226
483	1147	1223
484	1150	1221
485	1152	1218
486	1153	1215
487	1155	1212
488	1157	1209
489	1159	1207
490	1161	1204
491	1163	1201
492	1165	1198
493	1167	1195
494	1170	1193
495	1172	1190
496	1173	1187
497	1175	1185
498	1177	1182
499	1179	1179
500	1181	1177
501	1183	1174
502	1185	1171
503	1187	1168
504	1189	1165
505	1191	1163
506	1193	1160
507	1195	1157
508	1197	1154
509	1199	1152
510	1200	1149
511	1202	1146
512	1204	1143
513	1206	1141
514	1208	1138
515	1210	1135
516	1212	1132
517	1214	1130
518	1216	1127
519	1218	1124
520	1220	1121
521	1221	1118
522	1223	1116
523	1225	1113
524	1227	1110
525	1229	1108
526	1231	1105
527	1234	1103
528	1236	1100
529	1238	1097
530	1240	1095
531	1242	1092
532	1244	1090
533	1246	1087
534	1248	1084
535	1250	1082
536	1252	1079
537	1254	1076
538	1256	1074
539	1258	1071
540	1259	1068
541	1262	1066
542	1264	1064
543	1266	1061
544	1268	1059
545	1270	1056
546	1272	1053
547	1274	1051
548	1276	1049
549	1278	1046
550	1280	1043
551	1282	1041
552	1284	1038
553	1286	1035
554	1288	1033
555	1290	1030
556	1292	1027
557	1294	1025
558	1296	1022
559	1298	1020
560	1300	1017
561	1302	1014
562	1303	1012
563	1305	1009
564	1307	1006
565	1309	1004
566	1311	1001
567	1313	998
568	1315	996
569	1317	994
570	1319	991
571	1321	988
572	1323	986
573	1325	983
574	1327	981
575	1329	978
576	1331	976
577	1333	973
578	1335	970
579	1337	968
580	1339	965
581	1341	963
582	1343	960
583	1345	958
584	1347	955
585	1349	953
586	1351	950
587	1352	947
588	1354	945
589	1356	942
590	1359	940
591	1360	937
592	1363	935
593	1365	933
594	1367	931
595	1369	928
596	1371	926
597	1373	923
598	1375	920
599	1377	918
600	1379	915
601	1381	913
602	1383	910
603	1385	908
604	1387	905
605	1389	903
606	1391	900
607	1393	898
608	1396	896
609	1398	894
610	1400	891
611	1402	889
612	1404	886
613	1406	884
614	1408	881
615	1410	879
616	1412	876
617	1414	874
618	1416	871
619	1418	869
620	1420	866
621	1422	864
622	1424	861
623	1425	859
624	1427	856
625	1429	854
626	1431	851
627	1433	849
628	1435	846
629	1438	844
630	1440	842
631	1442	839
632	1444	837
633	1446	835
634	1448	832
635	1450	830
636	1452	827
637	1454	825
638	1455	822
639	1457	820
640	1459	817
641	1461	814
642	1463	812
643	1465	809
644	1466	807
645	1468	804
646	1470	802
647	1472	799
648	1474	797
649	1476	794
650	1478	792
651	1480	790
652	1482	787
653	1483	785
654	1485	782
655	1487	780
656	1489	777
657	1491	775
658	1493	772
659	1495	770
660	1497	768
661	1499	765
662	1501	763
663	1503	760
664	1505	758
665	1507	755
666	1509	753
667	1511	751
668	1513	748
669	1515	746
670	1516	743
671	1518	741
672	1520	738
673	1522	736
674	1524	734
675	1526	731
676	1528	729
677	1530	726
678	1532	724
679	1533	721
680	1536	719
681	1538	717
682	1540	714
683	1541	712
684	1543	709
685	1545	707
686	1547	705
687	1549	702
688	1551	700
689	1554	698
690	1555	695
691	1557	693
692	1559	690
693	1561	688
694	1563	686
695	1565	683
696	1567	681
697	1569	678
698	1571	676
699	1574	674
700	1576	672
701	1578	670
702	1580	667
703	1582	665
704	1584	663
705	1586	660
706	1588	658
707	1590	655
708	1592	653
709	1594	651
710	1596	648
711	1598	646
712	1600	644
713	1602	641
714	1604	639
715	1606	637
716	1609	635
717	1610	632
718	1612	630
719	1614	627
720	1616	625
721	1618	623
722	1620	620
723	1622	618
724	1624	616
725	1626	613
726	1628	611
727	1630	609
728	1633	607
729	1635	605
730	1637	602
731	1639	600
732	1641	598
733	1643	595
734	1645	593
735	1647	591
736	1649	588
737	1651	586
738	1653	583
739	1655	581
740	1657	579
741	1659	577
742	1661	574
743	1663	572
744	1665	570
745	1667	567
746	1669	565
747	1671	563
748	1673	560
749	1675	558
750	1677	556
751	1679	554
752	1681	551
753	1683	549
754	1685	546
755	1687	544
756	1689	542
757	1692	540
758	1694	538
759	1696	535
760	1698	533
761	1700	531
762	1702	528
763	1704	526
764	1706	524
765	1708	521
766	1710	519
767	1712	517
768	1714	515
769	1716	512
770	1718	510
771	1720	508
772	1722	505
773	1724	503
774	1726	501
775	1729	499
776	1731	496
777	1733	494
778	1735	492
779	1737	490
780	1739	487
781	1742	485
782	1744	483
783	1746	481
784	1748	478
785	1750	476
786	1752	474
787	1754	471
788	1756	469
789	1757	467
790	1759	464
791	1761	462
792	1764	460
793	1766	458
794	1768	456
795	1770	453
796	1772	451
797	1774	449
798	1776	446
799	1778	444
800	1780	442
801	1781	439
802	1783	437
803	1785	435
804	1787	433
805	1789	430
806	1791	428
807	1793	426
808	1795	423
809	1797	421
810	1799	419
811	1801	416
812	1803	414
813	1804	412
814	1806	410
815	1808	407
816	1810	405
817	1812	403
818	1815	401
819	1816	398
820	1819	396
821	1820	394
822	1822	392
823	1824	389
824	1826	387
825	1828	385
826	1831	383
827	1833	380
828	1835	378
829	1837	376
830	1838	373
831	1841	371
832	1842	369
833	1844	367
834	1847	364
835	1849	362
836	1851	360
837	1852	358
838	1854	355
839	1856	353
840	1858	351
841	1860	349
842	1862	346
843	1864	344
844	1867	342
845	1868	340
846	1870	337
847	1872	335
848	1874	333
849	1876	331
850	1878	328
851	1880	326
852	1883	324
853	1885	322
854	1887	320
855	1889	317
856	1891	315
857	1892	313
858	1895	311
859	1897	308
860	1899	306
861	1900	304
862	1902	302
863	1904	299
864	1907	297
865	1908	295
866	1910	293
867	1912	290
868	1914	288
869	1916	286
870	1918	284
871	1919	281
872	1921	279
873	1923	277
874	1925	275
875	1927	272
876	1929	270
877	1931	268
878	1933	266
879	1934	263
880	1936	261
881	1938	259
882	1940	257
883	1942	254
884	1944	252
885	1946	250
886	1948	248
887	1950	245
888	1952	243
889	1954	241
890	1956	239
891	1958	237
892	1960	234
893	1962	232
894	1964	230
895	1966	228
896	1967	225
897	1969	223
898	1971	221
899	1973	219
900	1975	217
901	1977	214
902	1978	212
903	1980	210
904	1982	208
905	1984	205
906	1987	203
907	1990	201
908	1991	199
909	1993	197
910	1995	194
911	1997	192
912	1999	190
913	2001	188
914	2003	186
915	2005	183
916	2007	181
917	2009	179
918	2011	177
919	2013	175
920	2015	172
921	2017	170
922	2019	168
923	2021	166
924	2022	164
925	2024	161
926	2026	159
927	2028	157
928	2030	155
929	2032	152
930	2034	150
931	2036	148
932	2038	146
933	2040	144
934	2042	141
935	2043	139
936	2045	137
937	2047	135
938	2049	133
939	2051	130
940	2053	128
941	2055	126
942	2057	124
943	2059	122
944	2061	120
945	2064	117
946	2066	115
947	2068	113
948	2070	111
949	2072	109
950	2074	106
951	2076	104
952	2078	102
953	2080	100
954	2082	98
955	2084	95
956	2086	93
957	2088	91
958	2090	89
959	2092	87
960	2094	84
961	2096	82
962	2097	80
963	2099	78
964	2101	76
965	2103	74
966	2106	71
967	2107	69
968	2109	67
969	2111	65
970	2114	63
971	2115	60
972	2117	58
973	2119	56
974	2121	54
975	2123	52
976	2125	50
977	2127	47
978	2129	45
979	2132	43
980	2134	41
981	2136	39
982	2138	36
983	2140	34
984	2142	32
985	2144	30
986	2146	28
987	2148	26
988	2150	23
989	2152	21
990	2154	19
991	2156	17
992	2158	15
993	2160	13
994	2162	10
995	2166	8
996	2168	6
997	2170	4
998	2172	2
999	2174	0
